V	%
0	0.0
0.004	0.000101408053391
0.008	0.000456356876557
0.012	0.00195570086685
0.016	0.00600916915731
0.02	0.0148023766557
0.024	0.0308766441783
0.028	0.0573678017762
0.032	0.0953989925686
0.036	0.151721382578
0.04	0.231395904958
0.044	0.339594629948
0.048	0.489724988887
0.052	0.655903353382
0.056	0.863380705704
0.06	1.13319382383
0.064	1.44219915976
0.068	1.81731748791
0.072	2.24241389917
0.076	2.83309528751
0.08	3.4443338074
0.084	3.95211545271
0.088	4.73097738208
0.092	5.63402941383
0.096	6.51536373186
0.1	7.46774319935
0.104	8.62659482315
0.108	9.74332467711
0.112	11.1333131595
0.116	12.7684106195
0.12	14.18721151
0.124	15.8478438114
0.128	17.4519469489
0.132	19.1360431923
0.136	21.1862715526
0.14	23.0324257724
0.144	25.3309799444
0.148	27.4663098458
0.152	29.2573721447
0.156	31.626933841
0.16	33.7938600244
0.164	36.437968065
0.168	38.6582702965
0.172	41.658627364
0.176	44.3844476069
0.18	47.2769445932
0.184	50.0452468904
0.188	52.4627502949
0.192	55.0600122795
0.196	58.0440224061
0.2	60.374366936
0.204	63.415036822
0.208	64.9119441934
0.212	67.7096596898
0.216	70.9573288742
0.22	73.1547511438
0.224	75.2726557611
0.228	76.6344686076
0.232	79.5051845297
0.236	81.231973974
0.24	83.7605960729
0.244	86.6498186516
0.248	86.6018927376
0.252	89.1882514248
0.256	89.1632022273
0.26	90.9095939803
0.264	93.0656140536
0.268	94.3784241574
0.272	94.3010599462
0.276	94.5952150901
0.28	95.7663755791
0.284	96.079043654
0.288	96.2152336148
0.292	96.3089320014
0.296	96.6292257206
0.3	96.9277444336
0.304	97.4267136295
0.308	97.6696554701
0.312	97.083530645
0.316	97.1783058604
0.32	97.975793553
0.324	98.2013120568
0.328	97.84069297
0.332	99.9368102486
0.336	98.1392179576
0.34	99.6611870754
0.344	97.7535433989
0.348	98.4486178992
0.352	98.265578637
0.356	98.5989509473
0.36	98.7438559301
0.364	98.777638973
0.368	98.3015467099
0.372	98.4148411308
0.376	98.1620883995
0.38	98.7721858098
0.384	98.6763149421
0.388	97.6358851925
0.392	98.5314162338
0.396	100.0
V	%
0	0.0
0.004	0.000325480351705
0.008	0.00164272239726
0.012	0.00496206157676
0.016	0.011819894757
0.02	0.024339501072
0.024	0.0456252421737
0.028	0.0791171921505
0.032	0.128380102285
0.036	0.197980685924
0.04	0.292596123914
0.044	0.421822724938
0.048	0.584460880342
0.052	0.802489812664
0.056	1.04857421397
0.06	1.33652700581
0.064	1.70424437122
0.068	2.13270425335
0.072	2.62484773654
0.076	3.18788784291
0.08	3.82724651081
0.084	4.61579691971
